General,,,,,,,,,,,,Inform,,,,,,,,FAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do not do,,,,,,,,,Payment,,,,,,,,duration,procedure,,,,,,,special request,,,,,,,,requirement,,,,,product details,,,sales,,,,,
34,8,12,25,26,43,27,27,9,8,6,11,25,97,102,76,6,307,4,0,7,0,3,10,8,19,19,81,1,1,1,1,1,1,1,1,10,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,194,1,9,128,40,106,1,1,21,10,73,20,0,109,63,26,7,1,52,9,1,6,10,42,3,67,6,0,1,1,9,4,6,16,16,27,1,32,17,10,29,184,18,26,15,250,4
greet,apology,complain,thankyou,confused,doublecheck,hesitate,get_back_later,question_reliability,ask_how_now,beg_for_help,question_why,inform_done,inform_paid,affirm,deny,report_issue,inform,inform_notify,,unsupported_request,,ineligible_shebao,query_company_name,query_mini_program,query_phone,query_weixin,query_topup,yutiaojishu,ask_can_pay_later,can_use_card,check_requirements_employee,contact_us,check_rujilu_purpose,is_gua_kao,stop_payment_need_pay,query_break_gjj,yibaoka_when_use,shenyubaoxian_payhowlong,can_use_yibao,can_purchase,liancheng_shebao,taichan_luohu,shengyu_benefit_coverage,looking_employment,hospitalised,yibao_benefit,huabei,jietu,wechat_problem,query_mail,mail_kapian,ask_password,form_fill,fill_date,will_it_sudden_stop,complicated,unsure,ask_for_refund,ask_shebao_status,query_when_check_shebao_status,query_how_check_shebao_status,change_wangwang_id,will_fee_be_same,check_procedure_fill,ask_shebao_card_status,ask_how_much,query_xufei,,query_pay_deadline,query_pay_process,query_pay_part_only,query_have_service_fee,query_payment_schedule,ask_turnaround_time,next_step,ask_for_details,query_gjj_card,query_shebao_card,how_to_pai,check_can_dun_ban,query_req_resources,ask_discount,,ask_can_provide_resource,ask_hetong,banli,provide_resource,ask_kai_piao,request_link,query_housing,query_multiple_locations,laodong,query_pregnant,query_various_effects,query_region_coverage,query_shebao_components,ask_can_topup,daikuan,luohu,pay_shui,purchase,query_canzhangjin
在没,真麻烦你了,真是搞笑,thanks,不懂,帮忙看下哈,我和家人商量下,ok好了我联系你,真的有效吗,怎么办,出点钱也可以,163是什么,弄完了,付费了,嗯好的,现在不行,58那个进不去,最高的吧,如果有问题及时联系我,,能提取公积金吗,,老板能代缴湖南省直社保吗,你们公司的名字是什么,怎么找小程序,电话号码是多少,你们有微信吗,补缴跟按时缴有啥区别吗,预调基费什么意思,可以后付吗,我刷卡没事吧,如果我五月有新公司入职你这边还要操作么,是58同城么我找不到58社保那个,个税记录有什么用么,是挂靠公司交对么,通知你们办理停止缴纳不用收费的吧,公积金断缴有影响吗,医保卡什么时候可以使用,上海生育保险要缴纳多久,交完之后医保可以用吗,你好就是我现在要从上海离职去北京就是你们这边可以帮忙续交上海社保是吧,聊城社保代缴一年多钱,太仓落户,我想问下这个广州社保的生育报销是什么代缴的社保也能享受吗,亲需要招操作社保公积金的兼职人员吗,住院可以报销吗,如果我生病了也可以用医保看病吗,你家可以用花呗么,我看到你们会提供截图的什么时候会有呢,小程序搜到你们了在WIFI和移动流量下都登录不上去,如果续费你们会发邮件过来是吧,卡会寄给我吗,密码是什么,您好我这边在办离职手续HR那边需要我填一个公积金的处理方式如果我后续准备在你们这边办理代缴的话是选封存吗,请问代缴社保的小程序里入职时间怎么填,会不会突然停交了呢,1000可以贷50万吗,,怎么退钱,帮我交了吗,11月10号之前能查询到吗,怎么查询呢,我的社保之前一直在你们这里交的我想换个旺旺ID缴纳行不行啊,如果下个月还找你们也是一样40对吧,缴纳基数我填写3387吗,密码函还没有到吗,你们服务费多少,下个月怎么续费呢,,时间呢,怎么付费,只缴纳养老可以吗,有服务费啊,可以一月一交吗,一般几号,然后怎么弄呢,有明细没亲,公积金联名卡怎么办理的,怎么办理社保卡呢,怎么拍,30号不办不行么,必须工行卡吗,优惠吗,,可以提供收入证明吗,可以出合同吗,你们可以办理应届生补贴吗,能提供劳动合同吗,你们可以开发票吗,链接,我问一下，在你们这边代缴公积金，后面想办公积金贷款的话怎么操作呢,我想交两个地方的社保行吗,需要劳动手册么,怀孕了社保是怎么样,这个有啥影响么,你们是缴纳哪个区的 ,120656 包括哪些费用,北京公积金可以补吗,5000基数能贷到上限吗,可以办理落户吧,我想给我妈交税,4月的公司会帮忙缴纳五月份的找你们代缴的,那残章金呢
在么,所以打扰了,这不是理由,thanks you,不是太了解,帮我看一下,我和老公商量下,付好告诉你哈,你们是正规的吗,我怎么办呢,花钱也不行吗,19377那个直接付款吗,填好,都支付过了,15月有,忘了,一直进不去,只要社保可以吗,有问题及时联系我哦,,公积金提取能做吗,,61周岁能交社保吗,公司名字是啥,小程序怎么开呢,方便电话吗,可以加微信吗,补交是怎样的,,,,,,,,,公积金断缴会有什么问题吗断几个月,,,可以正常使用医保吗,能代缴北京社保吗,,,,,,,,,,,,,,那我入职日期填什么,,10月份开始给我缴纳,,怎么拿钱,当月社保交了吗,几号能查到社保,在哪能查到,,,基数怎么填写,,大概多少钱,接下来怎么交,,5月份杭州社保今天能交么,怎么交,可以只交医保吗,服务费有吗,,要多久呢,然后呢,,公积金联名卡怎么弄,弄社保卡,在淘宝拍么,可以不办吗,必须交什么,给我做减员了吗,,,,可以帮忙办理补贴吗,需要在职证明,可以开发票吗,可拍了吗,影响买房吗,可以交不同地区的社保吗,,现在怀孕四个月之前上海社保已经交满一年交到生产当月可以领生育津贴吗,社保断了会有影响吗,你们缴纳哪个区呢,包含养老吗,北京社保可以补缴,就贷款,,我想补个税,4月份的要开始买,残章金
在嘛,麻烦您了,你们很不诚信,thank you,不太懂,帮我确认一下,我和老婆商量下,好的我去问问,这种代缴没有什么问题吧,我上面要怎么办,出钱也不能提供吗,302是啥,填好了谢谢你,付好了,3290这个貌似是,哦基本用不上,都没收到,朱嘉佑,有事几时通知,,你家无锡有代缴嘛,,今年61岁能交社保吗,缴纳得公司名称是什么,小程序怎么开,,加微信可以吗,补交跟按时交有什么差别,,,,,,,,,公积金断缴会有什么影响,,,,广州可以代缴吗,,,,,,,,,,,,,,一般写哪天,,10月公司可以交的,,那我先退了吧,到账了吗,几号可以去查社保,在哪里能查到,,,缴费基数填什么,密码函什么时候到,缴费基数是多少,续费是怎么样,,五月可以交吗,怎么付钱,可以只交养老吗,不加服务费的吧,,什么时候可以搞,然后,,联名卡怎么办理,办理社保卡,续保怎么拍,是不是需要代缴,必须提供什么吗,是能给我交少5月份的保险吧,,,,我想办理杭州的本科补贴,你们能提供材料吗,可以发票吗,给我链接,买房呢,能同时交两地吗,,怀孕可以交社保吗,社保断缴有什么影响吗,你们服务包括哪些地区,包括生育险没有,补交可以吗,公积金可以贷款,可以办理落户吗,请问可以补个税吗,,残章金是怎么算
在吗,麻烦你了,你了解的有吗,tks,还是怎么回事啊,不能弄一下吗,我再考虑下吧,好我先确认下,你们这靠谱吗,那什么办啊,花钱也不能办理吗,40为啥三个,填完了,付好钱了,5月有,没有交,出了问题,重新拍了,有事几时通知我,,公积金套现可以嘛,,,你们公司叫什么名啊,小程序,方便电话咨询下吗,有微信吗,社保补缴啥意思,,,,,,,,,如果公积金断了会有什么后果,,,,,,,,,,,,,,,,,,,,有可能交不上对吗,,那你们先退,改个价谢谢,几号能查到,我怎么查询,,,那现在要填什么,,代缴社保费用,以后怎么续费,,五月还能缴吗,怎么付款,可以只交3险吗,你们有服务费不,,什么时候搞好,拍下后,,怎么办理联名卡,社保卡怎么弄,我怎么拍,,不出具资料,打折,,,,杭州学历补贴能办理吗,需要一份离职证明,开发票可以吗,哦给个链接,房屋中介能缴,可以两地同时缴纳吗,,社保可以交吗 我怀孕了,那有什么影响吗,你们交哪个区的,包括养老吗,补缴6月的,公积金贷款额度,,可以光交税么,,残章金怎么算
有人么,不好意思哦,没看到信息啊,感谢,哪里啊,都是杭州的吧,我再想想,尽快回复你,你们这个靠谱吧我同事有两个也想办一个月的,那就没办法了吗,帮帮忙不行吗,你的意思还是要社保和公积金都在你这里一起交是吧,信息填好了,付了,ok,没有,出现了状况,广州的,,,可以提取公积金吗,,,你们公司叫什么,什么微信小程序,给我你们的电话,那边有没有微信,补缴社保会有什么影响,,,,,,,,,公积金断了会有什么后果,,,,,,,,,,,,,,,,,,,,120656是每月费用吗,,可以退吗,改价我现在付款,三月什么时候可以查到,网上可以查询吗,,,入职日期填什么,密码函什么时间到,缴纳基数呢,之后怎么续费,,本月已经晚了吧,怎么操作,只交养老可以吗,有没有服务费,,今天缴什么时候能在系统看到,接着呢,,公积金卡怎么领取,社保卡怎么领取,是在淘宝在拍吗,,都需要什么资料,有没有打折,,,,我要办理杭州应届生补贴,,发票可以吗,拍哪个链接呢,发送缴纳通知,我要是两地代缴,,我怀孕了,会有事嘛,你们缴纳哪个地区呢,包括医疗吗,补缴费用一样,贷款是连续6个月就好对吧,可以办留学生落户吗,会代缴税吗,5月份的你们这边还是会交吧,
有人吗,不好意思,嗯蛮贵,感谢哦,请问这话啥意思,对吧,我在考虑下,那我明天操作吧,可靠的吗,现在怎么办,帮帮忙吧,验证码在哪,已经好了,付完了,ok不影响就好,不用啊,出了状况,只需要五险,,,提取公积金可以嘛,,,怎么称呼你们公司,怎么找你们的小程序,可以电话联系下吗,可以加v吗,补社保啥意思,,,,,,,,,断交公积金会有什么影响,,,,,,,,,,,,,,,,,,,,120元是怎么回事,,帮我退款吧,公积金交了吗,社保什么时候可以查到账情况,怎么查询,,,职业填啥,,多少钱,什么时间来续费呢,,5月份的还能交吗,怎么办理呢,只交3险可以吗,你们收服务费吗,,几号可以转出来,接下来呢,,怎么去办理公积金联名卡,怎么领取社保卡呢,是不是在淘宝拍,,参保资料,可以打个折吗,,,,杭州的应届生补贴可以办理吗,,有发票提供吗,能给个链接吗,补缴对孩子上学和买房有影响吗,同时交两地可以吗,,我怀孕了还可以继续缴吗,这样会有什么影响,你们服务包括哪些区,代缴包括公司部分和个人部分吗,补缴是这样的吗,贷款方便,可以苏州落户吗,补个税怎么收费,按最低的,
有人不,我的错,这没理由,感谢亲,啥意思,对吗,我在想想,我会联系你们,你们公司有效吗,我该怎么办,,什么是个税记录,已填写好,付完了一个,OK了都,不是,,只发工行,,,这里可以提取公积金嘛,,,你好请问如果选择你们代缴上海社保你们是以哪家公司名义缴纳,小程序怎么找,,加weixin可以吗,补交和正常交有什么区别,,,,,,,,,断了交公积金会有什么影响,,,,,,,,,,,,,,,,,,,,15号之前下单都可以交是吧,,您吧退款处理下,交好了吗,什么时候可以查询到,如何查询,,,,社保卡到了吗,多少钱了,续费还是这样拍吗,,5月份的不能交吗,怎么办理,只交医保可以吗,收服务费啊,,社保到账要多久,接下来怎么弄,,,社保卡是怎么办理的,接下来怎么拍,,都需要什么资料啊,,,,,杭州社保我要领取补贴用的,,,可以拍了吗,会不会影响买房,同时交两地社保可以吗,,怀孕了社保怎么弄,不影响吧,那边可以交苏州哪个区,代缴包括医疗部分吗,补三月,贷款,留学生落户怎么个流程,我想交税可以吗,按最低的交,
下午好,是我的错,我真的无语,合作愉快,啥意思啊,行吧,我考虑一下,我明天上午办理,你们公司可靠的吗,现在要怎么完成,,为啥,写好了,公积金收到了,啊,不买,,正规的,,,,,,缴纳公司名称是什么,要小程序怎么搜索,可以电话咨询吗,有没有微信,补缴和正常缴纳有什么区别,,,,,,,,,公积金断了会有什么影响,,,,,,,,,,,,,,,,,,,,1年之内这个业务是暂停的是吧,,怎么退,六月份过了吗,什么时候能查到,你好我在哪里查询社保金额是否已经到账呢,,,我填这个月吗,社保卡还没到吗,费用和材料,下个月什么时间来续费,,最晚什么时候下单,我需要做什么,只要交医保,,,一般要多久,做完了怎么弄,,,我可以领社保卡吗,怎么拍5个呢,,都需要提供给你什么资料,,,,,这边可以帮忙办理杭州补贴吗,,,有链接吗,不影响买房吧,能同时交上海与北京的吗,,怀孕能代缴吗,对于孩子上学有影响吗,那边是缴纳哪些区呢,能帮忙介绍下社保吗,断了的可以补吗,不影响贷款吧,,这里可以交税嘛,按最低交,
喂,,开什么玩笑,哦哦谢谢,什么意思,帮我查一下,我先了解一下,我明天早上填吧,可靠吗,,,为啥是今天,资料已经完成了,交了,嗷嗷,不会,,chengdu,,,,,,公司的名字是什么,,,weixin号,补交是啥,,,,,,,,,如果公积金断了会有什么影响,,,,,,,,,,,,,,,,,,,,2000多吧,,45月的240的预调基的钱什么时候才可以退,麻烦问下社保公积金交了没,现在可以查询吗,缴纳可以查看记录吗,,,职日期怎么填,,费用是多少,下个月还是来这里拍吗,,这个月上海的社保还能代缴吗,如何付费,只要交养老,,,大概几号,还是在这里拍宝贝吗,,,你们这里能领卡吗,直接拍么,,都需要我准备什么,,,,,我想办理应届生补贴杭州的,,,拍哪个,比如购房,能同时交北京上海的吗,,怀孕能交上海社保吗,这个跟后面小孩子上学有冲突嘛,你们缴纳哪个区,社保包含什么,公积金补缴,公积金贷款,落户,可以补税吗,北京社保可以交吗,
人呢,,开什么搞笑,谢啦,是什么意思呢,看到吗,我再看看,我去问问我有个朋友要不要补缴,,,,为什么,写完了,缴吧缴吧我拍了,嗷嗷懂了,不行,,guangzhou,,,,,,你们公司名字是啥,,你电话多少,可以添加微信吗,补缴是怎么样的,,,,,,,,,如果公积金断缴会有什么影响,,,,,,,,,,,,,,,,,,,,234这几个月的比例能不能给我下,,,那我八月份呢,要多久能查到,查询社保资格,,,,社保卡弄完了吗,公积金最低队少,我什么时间来续费呢,,需要缴纳五月份社保和公积金最迟几号提交,社保是怎么付费的,一金可以不缴纳吗,,,要大概多久,,,,你们这边可以领卡的吧,现在拍吧,,参保要什么资料,,,,,,,,拍哪个宝贝,购房呢,要同时交上海广州呢,,怀孕能交北京社保吗,社保断缴会有什么问题吗,你们缴纳几个区,社保包括医疗保险吗,公积金贷款认可补缴吗,你们办理贷款吗,落户办理吗,可以补税不,长沙社保代缴怎么收费,
人嗯,,你们到底干嘛,谢了,我不太懂,看得到么,我回去想一想,弄完了再找你,,,,验证码是什么,做好了,拍好了,都可以,不对了,,这个月不用交了,,,,,,,,你好单位有固定电话嘛,你们微信是什么,补缴跟正常代缴有什么不同,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23的基数是多少4月的是多少,,,你好五月份时侯输的社保交了吧,什么时候可以查到,查询缴纳,,,月填什么啊,社保卡什么时候好,公积金最低多少,续费还是这样拍么,,,那我怎么下单,可以只交公司部分吗,,,大概什么时候搞好,,,,,每个都要拍吗,,还需要其他的么,,,,,,,,能拍吗,因为我想要购房,要同时交上海杭州呢,,怀孕能缴纳吗,社保断了会有什么问题吗,,社保代缴是五险都包含的吧,公积金可以补交吗,办贷款,落户可以办理吗,你们可以交税么,长沙社保怎么交的,
亲在吗,,你们干嘛,谢谢,咋回事,可以吧,我先想一下,我再试试,,,,,做完了,拍了,对,不对啊,,这个日期,,,,,,,,,你们的微信号是什么,补缴跟正常代缴有什么差别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40的拍5份是吧,,,你好五月份石后书的社保交了吧,请问几号可以查到,社保怎么查,,,基数填什么,,就是一个月交多少钱呢,续费还是这样拍淘宝么,,现在能汇缴么,那我怎么办理,可以只交个人部分吗,,,要多少时间,,,,,好的直接拍吗,,好需要提供啥,,,,,,,,能拍么,我想在苏州买房,要一起交苏州与上海的可以吗,,怀孕了怎么缴纳,不会有影响吧,,社保都包括什么,公积金可以补缴吗,办理贷款,,可以交税,成都社保,
亲,,,谢谢啊,这什么意思,可以吗,让我回去考虑一下,好的我拍了再通知你们,,,,,好了你看看,拍下了,对啊,不,,长沙,,,,,,,,你好这边咨询电话是多少啊,你们的微信号是啥,补缴社保跟正常代缴有什么差别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4月的不是你们帮我缴纳的嘛,,,你们可以看到成功了吗,社保几号可以查到账情况,社保如何查询,,,不知道的可以不写吗,我的密码函到了吗,俩一起多少,下个月怎么续费啊,,现在还能补么,流程再给我下,五险一金可以交个人部分的吗,,,多久才能到账,,,,,现在汇缴怎么拍,,几号之前需要提交资料,,,,,,,,可以拍不,因为我马上要买房会有什么影响,要一起交杭州跟上海的可以吗,,怀孕了怎么去代缴,有没有影响,,社保都交了什么啊,公积金可以补吗,贷款办理可以吗,落户上海需要什么材料,我想交税,成都社保可以交吗,
您好亲,,,谢谢啦,怎么回事啊,可以么,好的有需要会找你们的,我弄好了再找你,,,,,已经弄好了,钱付过了,对的,别这样,,市区,,,,,,,,你们有电话么,你们微信号是啥,补缴社保跟正常代缴有什么差异,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4月份邮箱有通知,,,您好居住证要签注了我拍哪一个,1月的什么时候能查到,哪里去看社保资格,,,月写啥,,您好五险一金服务费怎么收,下个月怎么续费,,,流程是什么,只交养老,,,多久才会到账,,,,,怎么去拍,,交上北京社保要提供什么,,,,,,,,拍哪里的,你好在吗想问一下我姐姐长沙的房子赠送给我但我不是长沙户口这种可以吗,要一起交广州跟上海的可以吗,,怀孕交广州社保,会影响孩子上学吗,,社保哪几种,公积金怎么补,贷款办理,能办理积分落户吗,我是想交税,代缴,
